250 4 0 249
0 12 16 13 35 | (22,18),(34,11),(47,11),(52,9),(83,3),(173,10),(178,9),(185,7),(192,19),(207,4),(236,4)
1 32 2 27 13 | (14,8),(107,20),(127,19),(149,13),(175,8),(215,8),(249,17)
2 15 48 23 28 | (50,7),(86,6),(142,10),(201,11),(225,5),(226,4),(233,14),(244,14)
3 46 7 19 35 | (24,10),(54,9),(94,19),(181,3),(187,4),(198,6)
4 40 50 5 27 | (34,14),(64,12),(65,20),(84,8),(92,6),(149,7),(194,20),(225,5)
5 47 15 30 7 | (42,16),(137,11),(140,18),(164,9)
6 18 5 24 47 | (7,15),(9,15),(13,7),(19,8),(44,12),(65,1),(73,19),(147,7),(150,6),(157,6),(174,8),(181,2),(187,10),(189,18),(211,19),(220,15)
7 45 22 49 29 | (30,16),(148,17),(236,13)
8 49 25 34 12 | (31,12),(34,9),(52,2),(111,11),(116,10),(130,2),(153,18),(174,20),(195,19),(222,7)
9 38 25 14 45 | (47,12),(52,19),(98,3),(117,7),(122,13),(207,1),(212,20),(217,1),(230,13)
10 10 19 38 32 | (13,10),(60,18),(74,20),(216,18),(218,1),(243,12)
11 27 25 24 27 | (39,10),(52,13),(80,4),(130,18),(139,3),(181,6),(184,18),(195,3),(200,20),(205,15)
12 9 7 5 5 | (14,11),(15,15),(21,18),(142,19),(199,16),(214,4),(240,11)
13 25 4 1 40 | (71,7),(87,7),(116,14),(145,9)
14 35 45 42 35 | (48,10),(53,18),(69,18),(74,4),(137,1),(145,11),(169,4),(172,9),(185,14),(237,20)
15 13 18 27 44 | (92,13),(117,15),(178,13),(204,9)
16 28 21 22 48 | (37,15),(59,14),(70,5),(119,8),(139,15),(170,17),(205,14)
17 32 33 21 44 | (22,20),(136,7),(180,5),(203,1),(211,3),(214,11),(236,16),(241,18)
18 14 30 19 50 | (27,8),(42,2),(48,13),(81,9),(94,20),(110,17),(122,3),(128,1),(136,16),(180,12),(200,10)
19 7 33 31 14 | (33,19),(36,15),(75,12),(112,1)
20 43 5 14 49 | (85,3),(130,10),(149,9),(159,2),(198,2),(234,2),(235,8)
21 15 45 13 27 | (52,19),(96,7),(229,11)
22 37 11 8 15 | (70,14),(88,1),(152,9),(166,6),(209,6),(242,10),(247,8)
